method,bucket_m,samples,p50_runtime_us,mean_tflops
BUCKET,1,2,110.591996,16.322226
BUCKET,2,3,148.256004,11.593415
BUCKET,3,6,76.735999,9.586787
BUCKET,5,2,284.591995,2.836919
BUCKET,7,3,39.808001,4.224685
FULL,1,2,110.080004,15.464118
FULL,2,3,145.408005,11.825574
FULL,3,6,56.832001,11.343713
FULL,5,2,284.559995,2.842699
FULL,7,3,28.800000,4.135475
ONEKEY,1,2,382.975996,4.304127
ONEKEY,2,3,520.192027,3.507011
ONEKEY,3,6,296.928003,2.609474
ONEKEY,5,2,622.976013,1.350113
ONEKEY,7,3,125.888005,0.951839
TORCH,1,2,152.064003,11.065330
TORCH,2,3,175.104007,10.500807
TORCH,3,6,154.511996,6.399034
TORCH,5,2,501.680002,1.597977
TORCH,7,3,39.808001,3.582555
