timestamp,bucket_m,bucket_n,bucket_k,rep_M,rep_N,rep_K,config_id,tune_time_ms,notes
2026-03-02T08:38:33.898791+00:00,0,0,0,32,32,32,c02,2519.827,
2026-03-02T08:38:33.940712+00:00,0,0,1,32,32,128,c00,41.901,
2026-03-02T08:38:33.982986+00:00,0,0,2,32,32,512,c04,42.258,
2026-03-02T08:38:34.048641+00:00,0,0,3,32,32,2048,c04,65.641,
2026-03-02T08:38:34.086361+00:00,0,1,0,32,128,32,c03,37.701,
2026-03-02T08:38:34.124218+00:00,0,1,1,32,128,128,c01,37.835,
2026-03-02T08:38:34.179027+00:00,0,1,2,32,128,512,c02,54.791,
2026-03-02T08:38:34.244057+00:00,0,1,3,32,128,2048,c04,65.015,
2026-03-02T08:38:34.282743+00:00,0,2,0,32,512,32,c03,38.671,
2026-03-02T08:38:34.334302+00:00,0,2,1,32,512,128,c11,51.547,
2026-03-02T08:38:34.380999+00:00,0,2,2,32,512,512,c00,46.683,
2026-03-02T08:38:34.453180+00:00,0,2,3,32,512,2048,c04,72.166,
2026-03-02T08:38:34.504992+00:00,0,3,0,32,2048,32,c11,51.791,
2026-03-02T08:38:34.550643+00:00,0,3,1,32,2048,128,c00,45.633,
2026-03-02T08:38:34.603082+00:00,0,3,2,32,2048,512,c11,52.415,
2026-03-02T08:38:34.695781+00:00,0,3,3,32,2048,2048,c11,92.680,
2026-03-02T08:38:34.733231+00:00,1,0,0,128,32,32,c11,37.426,
2026-03-02T08:38:34.771068+00:00,1,0,1,128,32,128,c00,37.821,
2026-03-02T08:38:34.828633+00:00,1,0,2,128,32,512,c11,57.552,
2026-03-02T08:38:34.887117+00:00,1,0,3,128,32,2048,c00,58.470,
2026-03-02T08:38:34.924065+00:00,1,1,0,128,128,32,c11,36.928,
2026-03-02T08:38:34.961573+00:00,1,1,1,128,128,128,c00,37.495,
2026-03-02T08:38:35.017734+00:00,1,1,2,128,128,512,c04,56.148,
2026-03-02T08:38:35.080754+00:00,1,1,3,128,128,2048,c04,63.003,
2026-03-02T08:38:35.118674+00:00,1,2,0,128,512,32,c00,37.893,
2026-03-02T08:38:35.159639+00:00,1,2,1,128,512,128,c04,40.949,
2026-03-02T08:38:35.215660+00:00,1,2,2,128,512,512,c00,56.007,
2026-03-02T08:38:35.279788+00:00,1,2,3,128,512,2048,c04,64.112,
2026-03-02T08:38:35.331619+00:00,1,3,0,128,2048,32,c00,51.813,
2026-03-02T08:38:35.379149+00:00,1,3,1,128,2048,128,c11,47.516,
2026-03-02T08:38:35.433281+00:00,1,3,2,128,2048,512,c04,54.118,
2026-03-02T08:38:35.540469+00:00,1,3,3,128,2048,2048,c04,107.166,
2026-03-02T08:38:35.580498+00:00,2,0,0,512,32,32,c11,40.001,
2026-03-02T08:38:35.634707+00:00,2,0,1,512,32,128,c11,54.184,
2026-03-02T08:38:35.683967+00:00,2,0,2,512,32,512,c04,49.240,
2026-03-02T08:38:35.747690+00:00,2,0,3,512,32,2048,c04,63.704,
2026-03-02T08:38:35.785586+00:00,2,1,0,512,128,32,c11,37.875,
2026-03-02T08:38:35.825352+00:00,2,1,1,512,128,128,c01,39.751,
2026-03-02T08:38:35.873705+00:00,2,1,2,512,128,512,c04,48.340,
2026-03-02T08:38:35.937786+00:00,2,1,3,512,128,2048,c04,64.066,
2026-03-02T08:38:35.976094+00:00,2,2,0,512,512,32,c11,38.291,
2026-03-02T08:38:36.016909+00:00,2,2,1,512,512,128,c11,40.802,
2026-03-02T08:38:36.065452+00:00,2,2,2,512,512,512,c02,48.527,
2026-03-02T08:38:36.147052+00:00,2,2,3,512,512,2048,c04,81.582,
2026-03-02T08:38:36.196493+00:00,2,3,0,512,2048,32,c11,49.413,
2026-03-02T08:38:36.250679+00:00,2,3,1,512,2048,128,c11,54.168,
2026-03-02T08:38:36.324860+00:00,2,3,2,512,2048,512,c04,74.166,
2026-03-02T08:38:36.509897+00:00,2,3,3,512,2048,2048,c06,185.016,
2026-03-02T08:38:36.566452+00:00,3,0,0,2048,32,32,c00,56.529,
2026-03-02T08:38:36.610740+00:00,3,0,1,2048,32,128,c09,44.266,
2026-03-02T08:38:36.657833+00:00,3,0,2,2048,32,512,c00,47.066,
2026-03-02T08:38:36.728418+00:00,3,0,3,2048,32,2048,c00,70.557,
2026-03-02T08:38:36.775827+00:00,3,1,0,2048,128,32,c01,47.383,
2026-03-02T08:38:36.818718+00:00,3,1,1,2048,128,128,c02,42.873,
2026-03-02T08:38:36.871039+00:00,3,1,2,2048,128,512,c11,52.307,
2026-03-02T08:38:36.953018+00:00,3,1,3,2048,128,2048,c04,81.958,
2026-03-02T08:38:36.999903+00:00,3,2,0,2048,512,32,c11,46.863,
2026-03-02T08:38:37.052886+00:00,3,2,1,2048,512,128,c04,52.967,
2026-03-02T08:38:37.129821+00:00,3,2,2,2048,512,512,c04,76.917,
2026-03-02T08:38:37.297209+00:00,3,2,3,2048,512,2048,c04,167.360,
2026-03-02T08:38:37.360325+00:00,3,3,0,2048,2048,32,c11,63.092,
2026-03-02T08:38:37.429374+00:00,3,3,1,2048,2048,128,c00,69.034,
2026-03-02T08:38:37.580239+00:00,3,3,2,2048,2048,512,c03,150.847,
2026-03-02T08:38:38.091865+00:00,3,3,3,2048,2048,2048,c10,511.601,
